asin,authors,average_rating,book_url,description_html,genre,image_url,price,print_length,published_date,publisher,ratings_count,reviews_url,title
B019PIOJYU,J.K. Rowling(Author), 4.7 ,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling-ebook/dp/B019PIOJYU/ref=sr_1_1?qid=1694593330&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-1,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <p><span class=""a-text-italic"">Turning the envelope over, his hand trembling, Harry saw a purple wax seal bearing a coat of arms; a lion, an eagle, a badger and a snake surrounding a large letter 'H'.</span><span><br><br>Harry Potter has never even heard of Hogwarts when the letters start dropping on the doormat at number four, Privet Drive. Addressed in green ink on yellowish parchment with a purple seal, they are swiftly confiscated by his grisly aunt and uncle. Then, on Harry's eleventh birthday, a great beetle-eyed giant of a man called Rubeus Hagrid bursts in with some astonishing news: Harry Potter is a wizard, and he has a place at Hogwarts School of Witchcraft and Wizardry. An incredible adventure is about to begin!<br><br><br></span><span class=""a-text-italic"">Having become classics of our time, the Harry Potter eBooks never fail to bring comfort and escapism. With their message of hope, belonging and the enduring power of truth and love, the story of the Boy Who Lived continues to delight generations of new readers.</span></p>  </div>",Action & Adventure,, 313.95 ,345 pages,8 December 2015,Pottermore Publishing,"101,588 ratings",https://www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling-ebook/product-reviews/B019PIOJYU/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Harry Potter and the Philosopher's Stone 
B0C1V1F2Z8,Camilla Isley(Author), 4.1 ,https://www.amazon.in/Love-Quest-enemies-lovers-romantic-ebook/dp/B0C1V1F2Z8/ref=sr_1_16?qid=1694593330&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-16,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <h2><span class=""a-text-bold"">She didn’t go to the jungle to meet the man of her dreams. Luckily, Dr Logan Spencer is NOT the man of her dreams!</span></h2><p><span>As epic meet-cutes go, travel photographer, Winter Knowles thinks finding a gorgeous naked man outside her Thailand villa is pretty perfect. But then she discovers the naked heartthrob is none other than Dr Logan Spencer, her gruff standoffish (but sexy as hell) jungle expedition leader.</span></p><p><span>Dr Logan is on the mission of a lifetime. There’s a lost city of gold to discover and he doesn’t need any distractions - especially not the stubborn, sassy beautiful photographer type! His reputation is on the line.</span></p><p><span>These arch rivals get off on the wrong foot. But when the heat rises in the jungle, Winter and Logan are forced together in the face of danger. Is trusting someone with your life the best meet-cute of all?  </span></p><p><span class=""a-text-bold"">A sassy, enemies-to-lovers rom-com perfect for fans of Christina Lauren and Sarah Adams!</span></p><p><span>Please note that this title was originally published as </span><span class=""a-text-italic"">From Thailand With Love.</span></p><p><span class=""a-text-bold"">What readers are saying about Camilla Isley:</span></p><p><span>‘A fun read filled with humor, heart, and love big enough to reach...to the stars and back. Recommended read for Contemporary Romance, Chick-Lit, and Romantic Comedy fans. Get ready to be starstruck!’ </span><span class=""a-text-italic"">Gina, Satisfaction for Insatiable Readers</span></p><p><span>‘It's not every day the female lead is revered more for her high intelligence, than her beauty. It was nice to see that dynamic between Lana and Christian...following what the heart wants. </span><span class=""a-text-italic"">Sara, Chick Lit Central</span></p><p><span>‘I completely fell for Christian in this book and it's been ages since I last felt like this about a book boyfriend.’ </span><span class=""a-text-italic"">Rachel, Rachel Random Reads </span></p><p><span>‘I adored these characters. Penned in my favorite dual POV, the writing style was crisp and engaging, yet also perceptive and loaded with wry wit and clever touches. I zipped through their star-crossed storylines.’ </span><span class=""a-text-italic"">Honolulubelle, Books &amp; Bindings</span></p><p><span>‘Cute, sweet, and fun!’ </span><span class=""a-text-italic"">Zoe, What's Better Than Books?</span></p><p><span>'This book had me smiling away to myself!! It has the perfect mixture of sweet, passion, drama and courage!' </span><span class=""a-text-italic"">Michelle, Come Read With Me</span></p><p><span>‘A fantastic romantic read that I devoured in one sitting.’ Kay, Coffee and Kindle Book Reviews</span></p><p><span>‘An addictive page turner with an absolutely wonderful meet-cute.’ </span><span class=""a-text-italic"">Julie, Romantic Reads and Such</span></p><p><span>‘You can definitely feel the chemistry between main characters. They're so different but perfect for each other. An adorable rom-com that made me smile a lot.’ </span><span class=""a-text-italic"">San, Behind the Sentence</span></p>  </div>",Action & Adventure,, 86.00 ,231 pages,8 July 2023,Boldwood Books,91 ratings,https://www.amazon.in/Love-Quest-enemies-lovers-romantic-ebook/product-reviews/B0C1V1F2Z8/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,"  Love Quest: A funny, sassy enemies-to-lovers romantic comedy from Camilla Isley for summer 2023 "
B071FJCVYH,Arjay Lewis(Author), 4.4 ,https://www.amazon.in/Fire-Mind-Doctor-Wise-Book-ebook/dp/B071FJCVYH/ref=sr_1_15?qid=1694593330&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-15,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <p></p><h4><span>A victim engulfed in flames. A psychic series of clues. Can a PhD with incredible mental powers stop a real-life firestarter? </span></h4><p><span>Years after a tragic car accident claimed his fiancée, Dr. Leonard ""Len"" Wise is just coming to terms with his demons. Now sober, the countless drunken nights helped him cope with the pain while he studied his newly-acquired psychic abilities. When a friend enlists him to deliver a lecture on parapsychology, he never expected it to end with a strange invitation: a police consult on a case of spontaneous human combustion. </span></p><p><span>With no-nonsense Detective Bill McGee by his side, Len deduces the victim may have been murdered by someone with similar abilities to his own. But when an enchanting suspect catches fire before his eyes, the PhD becomes the prime suspect. To clear his name and protect the people he loves, Can Len take his powers to the next level before he too is engulfed in flames? </span></p><p><span class=""a-text-italic"">Fire in the Mind</span><span> is the first book in the Doctor Wise series of paranormal mysteries. If you like complicated heroes, incredible abilities, and supernatural twists, then you'll love Arjay Lewis' award-finalist psychic suspense novel. </span></p><h4><span>Read </span><span class=""a-text-italic"">Fire in the Mind</span><span> and ignite a powerful new series today.</span></h4><p></p>  </div>",Action & Adventure,, 82.00 ,362 pages,10 June 2017,,609 ratings,https://www.amazon.in/Fire-Mind-Doctor-Wise-Book-ebook/product-reviews/B071FJCVYH/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Fire In The Mind: Doctor Wise Book 1 
B07H3VFNLX,T.M. Logan(Author), 4.2 ,https://www.amazon.in/Holiday-T-M-Logan-ebook/dp/B07H3VFNLX/ref=sr_1_14?qid=1694593330&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-14,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <span class=""a-text-bold"">The gripping </span><span class=""a-text-bold a-text-italic"">Sunday Times </span><span class=""a-text-bold"">bestselling Richard and Judy Book Club breakout thriller. Now a major TV drama on NETFLIX starring Jill Halfpenny</span><span><br></span><span><br></span><span class=""a-text-bold"">Take a holiday you won't forget . . .</span><span><br><br></span><span class=""a-text-italic"">Seven days. Three families. One killer.</span><span><br><br>It was supposed to be the perfect holiday, dreamed up by Kate as the ideal way to turn 40: four best friends and their husbands and children in a luxurious villa under the blazing sunshine of Provence. <br><br>But there is trouble in paradise. Kate suspects that her husband is having an affair, and that the other woman is one of her best friends. <br><br>One of these women is willing to sacrifice years of friendship and destroy her family. But which one? As Kate closes in on the truth in the stifling Mediterranean heat, she realises too late that the stakes are far higher than she ever imagined. <br><br></span><span class=""a-text-bold"">Because someone in the villa is prepared to kill to keep their secret hidden.</span><span><br><br>Praise for THE HOLIDAY<br><br></span><span class=""a-text-bold"">'Makes you think twice about going on holiday with friends' B A Paris</span><span><br></span><span><br></span><span class=""a-text-bold"">Perfectly plotted and riveting with an exceptional ending' Diane Jeffrey</span><span><br></span><span><br></span><span class=""a-text-bold"">'Perfect summer reading' S R Masters</span><span><br></span><span><br></span><span class=""a-text-bold"">'Another blistering page-turner' Chris Whitaker </span><span><br></span><span><br><br></span><span class=""a-text-bold"">**PRE ORDER T.M. LOGAN'S INCREDIBLE NEW UP ALL NIGHT THRILLER </span><span class=""a-text-italic"">THE CURFEW</span><span class=""a-text-bold""> NOW!**</span>  </div>",Action & Adventure,, 284.90 ,498 pages,25 July 2019,Zaffre,"26,253 ratings",https://www.amazon.in/Holiday-T-M-Logan-ebook/product-reviews/B07H3VFNLX/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  The Holiday: NOW A MAJOR NETFLIX DRAMA 
B00EP0UQEQ,Andrew Cunningham(Author), 4.6 ,https://www.amazon.in/Wisdom-Spring-Andrew-Cunningham-ebook/dp/B00EP0UQEQ/ref=sr_1_13?qid=1694593330&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-13,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <p><span class=""a-text-bold"">AN AMAZON BESTSELLER!</span><span><br><br></span><span class=""a-text-bold a-text-italic"">""The novel grabs from the first sentence.""</span><span class=""a-text-bold""> - Cape Cod Times</span><span><br><br>Jessica Norton is a woman on the run, a sensational lead item on the nightly news. Jon Harper is a grieving father whose life has crumbled over the death of his young daughter. When Jon picks up Jess hitchhiking on a deserted Texas highway one rainy night, it pitches them both into the middle of a massive conspiracy.<br><br>Wisdom Spring takes readers on a fast-paced, suspenseful ride along the highways of the U.S. and Canada, and into the far reaches of the Alaska wilderness. Pursued by a group of relentless killers, the two unlikely heroes must transition from helpless prey to proficient hunters, leading to a shocking discovery--one that threatens the very future of the United States.</span></p>  </div>",Action & Adventure,, 449.00 ,352 pages,20 August 2013,,"3,198 ratings",https://www.amazon.in/Wisdom-Spring-Andrew-Cunningham-ebook/product-reviews/B00EP0UQEQ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Wisdom Spring: An Alaska Thriller (The Alaska Thrillers Series Book 1) 
B0C1ZCTQJJ,Daniel Wescott(Author), 5.0 ,https://www.amazon.in/Captive-Love-Torment-ebook/dp/B0C1ZCTQJJ/ref=sr_1_12?qid=1694593330&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-12,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <p><span>Early Reviews on Amazon:</span></p><p><span>- So Good, I Bought the Second Book in the Series! ⭐️⭐️⭐️⭐️⭐️</span></p><p><span>- This was less pure-play horror and more of a well-written thriller. The writing was excellent, the characters had life and vibrancy, and the story kept me on my toes. ⭐️⭐️⭐️⭐️⭐️</span></p><p><span>- Gritty and Real ⭐️⭐️⭐️⭐️⭐️</span></p><p><span>- A thrilling tale with a roller coaster of emotions. ⭐️⭐️⭐️⭐️⭐️</span></p><p></p><p><span>Heart of Stone meets Knock at the Cabin and The Nun in an edge of your seat exploration of Love &amp; Torment.</span></p><p><span>CAPTIVE is a gripping supernatural thriller following the life of Tallyn O'Malley, whose life takes an unexpected turn when her dreams start to come true. Her husband returns from war, their son begins to open up, and they receive an invitation to a highly anticipated game show. However, a botched kidnapping attempt thrusts Tallyn into a hidden world she never knew existed.</span></p><p><span>Now, pursued by a relentless and cunning supernatural force seeking revenge, Tallyn must rely on her fighting spirit to survive. As a Spec-Ops team is deployed to rescue her, she realizes that her captivity runs deeper than she initially thought. With time running out, Tallyn's only goal is to make it back to her family. With its heart-pounding pace and thought-provoking narrative, ""Captive"" delivers a thrilling and intense ride, blending elements of love and torment.</span></p><p><span>This book marks the beginning of the Love &amp; Torment series, where the O'Malley family spans three generations targeted by vengeful supernatural entities fixated on Tallyn, the heroine of the first installment. Dark and fast-paced, this series promises to keep readers on the edge of their seats.</span></p><p><span>For those who prefer audiobooks, the narration for ""Captive"" is underway.</span></p>  </div>",Action & Adventure,, 82.00 ,409 pages,9 April 2023,,97 ratings,https://www.amazon.in/Captive-Love-Torment-ebook/product-reviews/B0C1ZCTQJJ/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Captive: Love and Torment 1 (Love & Torment) 
B072Q1KBRT,Robert Louis Stevenson(Author), 4.3 ,https://www.amazon.in/Treasure-Island-AmazonClassics-Robert-Stevenson-ebook/dp/B072Q1KBRT/ref=sr_1_11?qid=1694593330&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-11,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <p><span>Peg-legged pirates, colorful parrots, and plundered riches—they’re all here in Robert Louis Stevenson’s original seafaring adventure.</span></p><p><span>When young Jim Hawkins decides to follow a map to buried treasure, he must befriend or outsmart memorable characters such as pirate Long John Silver, captain Billy Bones, and island man Ben Gunn. Mutinous plans, mysterious deaths, and a tangle of double crosses keep Jim guessing all the way to the prize.</span></p><p><span>Inspired by real-life seafarers, Stevenson captures the adventurous spirit of the times and the imagination of readers, young and old alike.</span></p><p><span class=""a-text-bold"">Revised edition: Previously published as </span><span class=""a-text-bold a-text-italic"">Treasure Island</span><span class=""a-text-bold"">, this edition of </span><span class=""a-text-bold a-text-italic"">Treasure Island (AmazonClassics Edition)</span><span class=""a-text-bold""> includes editorial revisions.</span></p>  </div>",Action & Adventure,, 90.25 ,246 pages,27 June 2017,AmazonClassics,"15,420 ratings",https://www.amazon.in/Treasure-Island-AmazonClassics-Robert-Stevenson-ebook/product-reviews/B072Q1KBRT/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Treasure Island (AmazonClassics Edition) 
B0B75FJH6J,Gabrielle Sands(Author), 4.4 ,https://www.amazon.in/When-She-Unravels-Romance-Fallen-ebook/dp/B0B75FJH6J/ref=sr_1_9?qid=1694593330&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-9,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <p><span class=""a-text-bold a-text-italic"">*NOW A TOP 25 AMAZON BESTSELLER*</span></p><h5><span class=""a-text-bold"">He’s the most powerful man in Ibiza, and he’ll do anything to make me his.</span></h5><span>I’ve been raised to be the perfect </span><span class=""a-text-bold"">mafia wife</span><span>, but when my marriage turns into a horrific nightmare, I have no choice but to leave everything behind and start a new life.<br><br>I find myself alone in Ibiza—a place that swallows </span><span class=""a-text-bold"">innocent</span><span> girls like me alive. I’m robbed the day I arrive, left with nothing but a few euros and the clothes on my back.<br><br>My desperation leads me right to Damiano De Rossi. He rules over this island with an iron fist and beneath his strikingly handsome face lies a </span><span class=""a-text-bold"">wicked darkness</span><span>. I ask him for a job. He gives me far more than that—</span><span class=""a-text-bold"">degradation, jealousy, and toe-curling lust</span><span>.<br><br>When my resistance to him is all but gone, a secret is revealed, and we fall apart like a house of cards.<br><br>I know what I have to do. Run.<br><br>But when I try, I discover…he’s already got me </span><span class=""a-text-bold"">bound</span><span>.<br><br></span><span class=""a-text-italic"">When She Unravels is an 18+ </span><span class=""a-text-bold a-text-italic"">dark mafia romance</span><span class=""a-text-italic""> with mature themes, profanity, and plenty of steam. It's book one in The Fallen series but can be read as a standalone.</span>  </div>",Action & Adventure,, 414.00 ,392 pages,30 August 2022,,"6,126 ratings",https://www.amazon.in/When-She-Unravels-Romance-Fallen-ebook/product-reviews/B0B75FJH6J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  When She Unravels: A Dark Mafia Romance (The Fallen Book 1) 
B073QVF5DD,"J.K. Rowling(Author), ,Jim Kay(Illustrator)", 4.8 ,https://www.amazon.in/Harry-Potter-Philosophers-Stone-Illustrated-ebook/dp/B073QVF5DD/ref=sr_1_10?qid=1694593330&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-10,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <span class=""a-text-bold"">A specially designed Kindle in Motion edition of Harry Potter and the Philosopher’s Stone as illustrated by Jim Kay.</span><span><br><br>Prepare to be spellbound by this dazzling depiction of the wizarding world and its much-loved characters in this exclusive Kindle in Motion edition of one of the world's favourite books - Harry Potter and the Philosopher's Stone. Brimming with rich detail and humour that perfectly complements J.K. Rowling's timeless classic, Jim Kay's glorious illustrations will captivate fans and new readers alike.<br> <br>In this Kindle in Motion edition, Jim Kay’s illustrations are available for the first time in a beautifully designed digital reading experience, with the artist’s interpretations of much-loved locations, characters and magical creatures newly animated to come alive on your device. See the smoke from the Hogwarts Express billow around Platform 9 ¾, experience the hustle and bustle of Diagon Alley, and witness the enchanting spectacle of the Sorting Ceremony. All this and other surprises and delights await in this specially-created digital book.<br> <br>When a letter arrives for unhappy but ordinary Harry Potter, a decade-old secret is revealed to him that apparently he's the last to know. His parents were wizards, killed by a Dark Lord's curse when Harry was just a baby, and which he somehow survived. Leaving his unsympathetic aunt and uncle for Hogwarts School of Witchcraft and Wizardry, Harry stumbles upon a sinister mystery when he finds a three-headed dog guarding a room on the third floor. Then he hears of a missing stone with astonishing powers, which could be valuable, dangerous - or both. An incredible adventure is about to begin!</span>  </div>",Action & Adventure,, 313.95 ,258 pages,5 September 2017,Pottermore from J.K. Rowling,"21,677 ratings",https://www.amazon.in/Harry-Potter-Philosophers-Stone-Illustrated-ebook/product-reviews/B073QVF5DD/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  Harry Potter and the Philosopher's Stone: Illustrated [Kindle in Motion] (Illustrated Harry Potter Book 1) 
B07XWLZJ18,T.M. Logan(Author), 4.2 ,https://www.amazon.in/Catch-unmissable-thriller-bestselling-HOLIDAY-ebook/dp/B07XWLZJ18/ref=sr_1_32?qid=1694593350&refinements=p_n_feature_three_browse-bin%3A11301931031%2Cp_n_feature_nineteen_browse-bin%3A4729244031&rnid=1571277031&s=digital-text&sr=1-32,"<div aria-expanded=""false"" class=""a-expander-content a-expander-partial-collapse-content""> <span class=""a-text-bold"">NOW A MAJOR TV DRAMA on Channel 5, starring Jason Watkins, Aneurin Barnard, </span><span class=""a-text-bold"">Poppy Gilbert and Cathy Belton.</span><span><br></span><span><br></span><span class=""a-text-bold a-text-italic"">She says he's perfect. I know he's lying . . .</span><span><br><br></span><span class=""a-text-italic"">He caught me watching, and our eyes met. </span><span class=""a-text-italic"">That was when it hit me. </span><span><br></span><span class=""a-text-italic"">There was something not quite right about my daughter's new boyfriend . . .</span><span><br><br></span><span class=""a-text-bold"">The doting father</span><span><br><br>Ed finally meets his daughter's boyfriend for the first time. Smart, successful and handsome, Ryan appears to be a real catch. Then Abbie announces their plan to get married.<br><br></span><span class=""a-text-bold"">The perfect fiancé</span><span><br><br>There's just one problem. Ed thinks Ryan is lying to them.<br><br></span><span class=""a-text-bold"">Who would you believe?</span><span><br><br></span><span class=""a-text-bold"">All of Ed's instincts tell him his daughter is in terrible danger - but no-one else can see it. With the wedding date approaching fast, Ed sets out to uncover Ryan's secrets, before it's too late . . .</span><span><br><br>'Tense, tight and totally absorbing' Adele Parks, </span><span class=""a-text-italic"">Sunday Times</span><span> bestselling author of </span><span class=""a-text-italic"">Lies, Lies, Lies</span><span><br><br>'Smart, intense, and with a humdinger of a mid-point twist. I loved it' Gillian McAllister, </span><span class=""a-text-italic"">Sunday Times</span><span> bestselling author<br><br>'Taut, tense and compelling. T.M. Logan's talent is in creating characters with whom the reader instantly relates, and then thrusting them into situations that reflect our deepest fears. Thriller writing at its finest' Simon Lelic <br><br>'T.M. Logan's best yet. Fully delivers on its killer premise. Unsettling and so, so entertaining. The perfect thriller' Caz Frear<br><br>'Tricksy, twisting, instantly relatable and utterly compulsive. T.M. Logan excels at creating characters you really care about and exposing them to your very worst fears in a way that is always smart, suspenseful and thoroughly entertaining' C.M. Ewan<br><br>Praise for the master of the 'it-could-be-you' thriller, T.M. Logan:<br><br>'Assured, compelling, and hypnotically readable - with a twist at the end I guarantee you won't see coming' Lee Child<br><br>'I loved the intrigue - it makes you think twice about going on holiday with friends' B A Paris<br><br>'Perfect summer reading' S R Masters<br><br>'Perfectly plotted and riveting with an exceptional ending' Diane Jeffrey<br><br>'Heart-thumping suspense and the greatest twist since</span><span class=""a-text-italic""> Gone Girl'</span><span> Michele Campbell<br><br>'A moral dilemma + a pacy plot = one gripping thriller. I stayed up far too late reading this one!' Louise Jenson<br><br></span><span><br></span><span class=""a-text-bold"">**DON'T MISS T.M. LOGAN'S INCREDIBLE NEW THRILLER </span><span class=""a-text-bold a-text-italic"">THE MOTHER</span><span class=""a-text-bold""> - OUT NOW!**</span>  </div>",Action & Adventure,, 292.60 ,450 pages,30 April 2020,Zaffre,"24,238 ratings",https://www.amazon.in/Catch-unmissable-thriller-bestselling-HOLIDAY-ebook/product-reviews/B07XWLZJ18/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,  The Catch: The utterly gripping thriller - now a major TV drama 
